# Upstream repository for each vendored module.
# Generated by hack/resolve-module-repos.sh from the module proxy Origin,
# the go-import meta tag, and the github.com path shape. Not hand-edited.
# module	repo-url	subdir
cloud.google.com/go	https://github.com/googleapis/google-cloud-go	
cyphar.com/go-pathrs	https://github.com/cyphar/libpathrs	go-pathrs
github.com/BurntSushi/toml	https://github.com/BurntSushi/toml	
github.com/Masterminds/semver/v3	https://github.com/Masterminds/semver	
github.com/NVIDIA/go-nvlib	https://github.com/NVIDIA/go-nvlib	
github.com/NVIDIA/go-nvml	https://github.com/NVIDIA/go-nvml	
github.com/NVIDIA/nvidia-container-toolkit	https://github.com/NVIDIA/nvidia-container-toolkit	
github.com/blang/semver/v4	https://github.com/blang/semver	
github.com/census-instrumentation/opencensus-proto	https://github.com/census-instrumentation/opencensus-proto	
github.com/checkpoint-restore/go-criu/v7	https://github.com/checkpoint-restore/go-criu	
github.com/cilium/ebpf	https://github.com/cilium/ebpf	
github.com/client9/misspell	https://github.com/client9/misspell	
github.com/cncf/udpa/go	https://github.com/cncf/udpa	go
github.com/containerd/console	https://github.com/containerd/console	
github.com/containerd/log	https://github.com/containerd/log	
github.com/containerd/nri	https://github.com/containerd/nri	
github.com/containerd/ttrpc	https://github.com/containerd/ttrpc	
github.com/coreos/go-systemd/v22	https://github.com/coreos/go-systemd	
github.com/cpuguy83/go-md2man/v2	https://github.com/cpuguy83/go-md2man	
github.com/cyphar/filepath-securejoin	https://github.com/cyphar/filepath-securejoin	
github.com/davecgh/go-spew	https://github.com/davecgh/go-spew	
github.com/docker/go-units	https://github.com/docker/go-units	
github.com/emicklei/go-restful/v3	https://github.com/emicklei/go-restful	
github.com/envoyproxy/go-control-plane	https://github.com/envoyproxy/go-control-plane	
github.com/envoyproxy/protoc-gen-validate	https://github.com/bufbuild/protoc-gen-validate	
github.com/fsnotify/fsnotify	https://github.com/fsnotify/fsnotify	
github.com/fxamacker/cbor/v2	https://github.com/fxamacker/cbor	
github.com/go-logr/logr	https://github.com/go-logr/logr	
github.com/go-openapi/jsonpointer	https://github.com/go-openapi/jsonpointer	
github.com/go-openapi/jsonreference	https://github.com/go-openapi/jsonreference	
github.com/go-openapi/swag	https://github.com/go-openapi/swag	
github.com/godbus/dbus/v5	https://github.com/godbus/dbus	
github.com/golang/glog	https://github.com/golang/glog	
github.com/golang/groupcache	https://github.com/golang/groupcache	
github.com/golang/mock	https://github.com/golang/mock	
github.com/golang/protobuf	https://github.com/golang/protobuf	
github.com/google/gnostic-models	https://github.com/google/gnostic-models	
github.com/google/go-cmp	https://github.com/google/go-cmp	
github.com/google/go-licenses/v2	https://github.com/google/go-licenses	
github.com/google/go-replayers/httpreplay	https://github.com/google/go-replayers	httpreplay
github.com/google/licenseclassifier/v2	https://github.com/google/licenseclassifier	
github.com/google/martian/v3	https://github.com/google/martian	
github.com/google/uuid	https://github.com/google/uuid	
github.com/hashicorp/errwrap	https://github.com/hashicorp/errwrap	
github.com/hashicorp/go-multierror	https://github.com/hashicorp/go-multierror	
github.com/inconshreveable/mousetrap	https://github.com/inconshreveable/mousetrap	
github.com/josharian/intern	https://github.com/josharian/intern	
github.com/json-iterator/go	https://github.com/json-iterator/go	
